,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuktoyaktuk,69.4541,-133.0374,39.2,93,40,10.36,CA,1662703151
1,manokwari,-0.8667,134.0833,82.29,73,100,5.12,ID,1662703365
2,mataura,-46.1927,168.8643,45.91,89,32,2.51,NZ,1662703365
3,butaritari,3.0707,172.7902,81.7,76,91,15.35,KI,1662703366
4,yeppoon,-23.1333,150.7333,73.18,80,92,9.19,AU,1662703366
5,georgetown,5.4112,100.3354,87.73,70,20,6.91,MY,1662703366
6,ushuaia,-54.8,-68.3,35.51,98,100,7.07,AR,1662703367
7,fortuna,40.5982,-124.1573,51.98,99,0,1.21,US,1662703212
8,mwingi,-0.9344,38.0601,70.03,56,85,8.88,KE,1662703367
9,toora-khem,52.4675,96.11,47.41,86,100,3.76,RU,1662703368
10,ust-kut,56.7938,105.7672,54.07,54,94,10.69,RU,1662703368
11,ponsacco,43.6238,10.6291,68.56,93,24,1.99,IT,1662703368
12,praia da vitoria,38.7333,-27.0667,75.76,96,83,18.05,PT,1662703369
13,mar del plata,-38.0023,-57.5575,46.72,72,100,13.0,AR,1662703211
14,sarangarh,21.6,83.0833,88.34,63,56,12.08,IN,1662703369
15,yulara,-25.2406,130.9889,72.73,21,70,3.15,AU,1662703370
16,bengkulu,-3.8004,102.2655,83.82,67,83,6.2,ID,1662703370
17,hofn,64.2539,-15.2082,52.3,92,100,6.98,IS,1662703371
18,cap malheureux,-19.9842,57.6142,71.58,72,58,20.83,MU,1662703298
19,lebu,-37.6167,-73.65,42.62,84,10,7.78,CL,1662703158
20,rikitea,-23.1203,-134.9692,72.27,73,2,19.66,PF,1662703372
21,qaanaaq,77.484,-69.3632,28.58,76,35,7.52,GL,1662703372
22,tuatapere,-46.1333,167.6833,45.7,80,42,2.98,NZ,1662703372
23,portland,45.5234,-122.6762,64.96,48,0,5.01,US,1662703267
24,bredasdorp,-34.5322,20.0403,51.35,86,33,2.46,ZA,1662703374
25,hobart,-42.8794,147.3294,65.43,69,100,10.36,AU,1662703353
26,dingle,10.9995,122.6711,84.61,74,87,7.78,PH,1662703300
27,cape town,-33.9258,18.4232,56.97,82,34,4.0,ZA,1662703375
28,bethel,41.3712,-73.414,57.18,85,0,0.0,US,1662703355
29,maumere,-8.6199,122.2111,83.52,64,8,1.23,ID,1662703375
30,wufeng,27.45,104.8333,60.94,88,100,4.21,CN,1662703376
31,inhambane,-23.865,35.3833,71.17,66,2,3.87,MZ,1662703376
32,bagepalli,13.7847,77.7931,75.81,77,100,10.69,IN,1662703134
33,ihosy,-22.4,46.1167,64.58,56,36,10.22,MG,1662703377
34,albany,42.6001,-73.9662,56.7,93,0,2.26,US,1662703194
35,hasaki,35.7333,140.8333,82.8,80,98,15.32,JP,1662703378
36,hermanus,-34.4187,19.2345,50.81,78,28,5.91,ZA,1662703168
37,gat,31.61,34.7642,81.37,100,0,8.59,IL,1662703378
38,carnarvon,-24.8667,113.6333,65.1,62,98,6.24,AU,1662703308
39,port elizabeth,-33.918,25.5701,60.1,76,92,3.91,ZA,1662703379
40,avarua,-21.2078,-159.775,73.45,83,20,9.22,CK,1662703379
41,kununurra,-15.7667,128.7333,98.58,26,0,5.75,AU,1662703380
42,ukiah,39.1502,-123.2078,75.52,36,0,0.0,US,1662703380
43,ardabil,38.2498,48.2933,61.27,71,81,5.01,IR,1662703381
44,tubuala,9.5167,-79.0333,77.67,88,99,9.13,PA,1662703381
45,muros,42.7762,-9.0603,59.2,92,52,4.59,ES,1662703381
46,busselton,-33.65,115.3333,62.51,65,22,5.84,AU,1662703192
47,dikson,73.5069,80.5464,38.14,76,100,10.98,RU,1662703382
48,jamestown,42.097,-79.2353,58.5,74,0,1.01,US,1662703311
49,moron,-34.6534,-58.6198,47.93,92,100,11.07,AR,1662703383
50,provideniya,64.3833,-173.3,49.01,71,48,3.89,RU,1662703383
51,punta arenas,-53.15,-70.9167,46.11,65,100,19.51,CL,1662703249
52,bushehr,28.9684,50.8385,91.31,67,0,8.16,IR,1662703384
53,teguldet,57.3064,88.1667,55.6,55,66,10.63,RU,1662703384
54,san patricio,28.017,-97.5169,77.43,77,15,6.64,US,1662703317
55,camacupa,-12.0167,17.4833,63.1,28,0,5.19,AO,1662703385
56,mudhol,16.35,75.2833,81.7,69,99,8.7,IN,1662703386
57,new norfolk,-42.7826,147.0587,63.37,61,100,1.01,AU,1662703386
58,alyangula,-13.8483,136.4192,81.77,64,23,1.14,AU,1662703387
59,victoria,22.2855,114.1577,89.74,48,65,11.01,HK,1662703275
60,nyurba,63.2842,118.3319,48.72,76,86,14.99,RU,1662703367
61,coquimbo,-29.9533,-71.3436,50.9,79,0,3.94,CL,1662703387
62,loreto,22.2667,-101.9667,64.6,61,100,4.05,MX,1662703388
63,vila franca do campo,37.7167,-25.4333,75.61,93,93,13.27,PT,1662703336
64,zhigansk,66.7697,123.3711,41.4,97,100,19.77,RU,1662703388
65,kodinar,20.7903,70.7031,90.43,65,54,6.55,IN,1662703389
66,lata,40.1629,-8.3327,66.38,98,79,1.03,PT,1662703389
67,ballina,-28.8667,153.5667,72.79,79,62,6.49,AU,1662703389
68,puerto ayora,-0.7393,-90.3518,66.54,95,97,8.01,EC,1662703390
69,camopi,3.1655,-52.3158,69.82,99,24,1.97,GF,1662703390
70,kodiak,57.79,-152.4072,53.11,58,0,9.22,US,1662703391
71,matara,5.9485,80.5353,84.74,66,100,13.65,LK,1662703391
72,namibe,-15.1961,12.1522,65.8,90,3,3.11,AO,1662703391
73,touros,-5.1989,-35.4608,74.08,74,1,13.89,BR,1662703392
74,yellowknife,62.456,-114.3525,45.12,70,75,16.11,CA,1662703177
75,mahebourg,-20.4081,57.7,75.49,57,75,13.8,MU,1662703392
76,hilo,19.7297,-155.09,75.92,88,2,3.0,US,1662703208
77,souillac,-20.5167,57.5167,75.58,57,75,13.8,MU,1662703289
78,walvis bay,-22.9575,14.5053,58.3,71,0,1.36,NA,1662703393
79,geraldton,-28.7667,114.6,68.41,56,70,17.27,AU,1662703393
80,camacha,33.0833,-16.3333,71.02,88,40,8.05,PT,1662703394
81,calvinia,-31.4707,19.776,59.38,36,0,1.66,ZA,1662703394
82,te anau,-45.4167,167.7167,44.58,89,10,1.7,NZ,1662703394
83,coahuayana,18.7333,-103.6833,79.36,90,99,2.62,MX,1662703395
84,vaini,-21.2,-175.2,75.36,94,20,5.75,TO,1662703395
85,fasa,28.9383,53.6482,89.22,12,0,1.07,IR,1662703396
86,salalah,17.0151,54.0924,80.01,72,87,6.22,OM,1662703263
87,tarata,-17.6167,-66.0167,51.78,72,11,4.99,BO,1662703397
88,jacareacanga,-6.2222,-57.7528,74.3,79,75,2.19,BR,1662703397
89,esperance,-33.8667,121.9,60.39,62,70,9.95,AU,1662703203
90,dakar,14.6937,-17.4441,77.25,83,100,3.53,SN,1662703398
91,port alfred,-33.5906,26.891,61.18,95,52,8.55,ZA,1662703167
92,newnan,33.3807,-84.7997,70.5,96,40,4.61,US,1662703120
93,kahului,20.8947,-156.47,79.34,86,12,4.0,US,1662703194
94,bosaso,11.2842,49.1816,93.33,38,62,14.14,SO,1662703398
95,bayog,7.8667,123.0667,83.21,84,96,2.98,PH,1662703399
96,thompson,55.7435,-97.8558,48.36,81,40,12.66,CA,1662703369
97,atuona,-9.8,-139.0333,76.68,75,7,22.57,PF,1662703399
98,douglas,41.3,-96.167,71.69,69,0,12.66,US,1662703378
99,cairns,-16.9167,145.7667,82.71,67,5,8.05,AU,1662703227
100,kruisfontein,-34.0033,24.7314,57.88,70,45,3.49,ZA,1662703400
101,marsh harbour,26.5412,-77.0636,83.71,70,0,7.23,BS,1662703400
102,sikonge,-5.6333,32.7667,71.65,45,85,9.57,TZ,1662703401
